Freq (Hz)	mic1(Pa^2 )	mic2(Pa^2 )	mic3(Pa^2 )	mic4(Pa^2 )
100.000000000000010E+0	3.297027296537208E+0	3.433336393697071E+0	2.112253387143667E+0	3.448246511550132E+0
101.000000000000010E+0	821.862370008156870E-3	855.847714778312120E-3	526.539303953249880E-3	859.555583755279070E-3
102.000000000000010E+0	117.393221469447930E-9	114.794601853962870E-9	77.069481444354276E-9	134.300220759284340E-9
103.000000000000010E+0	55.800971680993775E-9	51.049845223387533E-9	36.954309707497600E-9	60.116476015751385E-9
104.000000000000010E+0	35.684227651372658E-9	33.555986376572573E-9	26.968109454408336E-9	31.949680893953717E-9
105.000000000000010E+0	35.216698396144220E-9	32.124467225745785E-9	23.050341878075154E-9	36.608009011680583E-9
106.000000000000010E+0	31.441279424621643E-9	26.825419085760989E-9	21.139094651302501E-9	26.027590906453739E-9
107.000000000000010E+0	25.251338348214716E-9	21.820256938437505E-9	19.602850144512280E-9	21.732436547700569E-9
108.000000000000010E+0	30.921976690032528E-9	26.598798885868217E-9	20.185920487150029E-9	28.063746621362268E-9
109.000000000000010E+0	33.731858131598719E-9	27.837992858423150E-9	21.682705081004350E-9	30.815651673384464E-9
110.000000000000010E+0	23.747860085845274E-9	19.113662118931370E-9	14.445011730128322E-9	19.796953723155940E-9
111.000000000000010E+0	29.277342102153005E-9	25.177754192375641E-9	17.287173761120645E-9	24.558006016706599E-9
112.000000000000010E+0	32.501295709990089E-9	28.685848183648873E-9	17.529707399499398E-9	26.341609874566190E-9
113.000000000000010E+0	20.560419277869947E-9	18.703052737148967E-9	11.116914667070728E-9	17.533593646732955E-9
114.000000000000010E+0	13.884159838651209E-9	12.312982537781716E-9	8.772858755079426E-9	13.076162796293324E-9
115.000000000000010E+0	8.671973113309076E-9	8.853162045472943E-9	7.781052540207870E-9	8.589452180429380E-9
116.000000000000010E+0	11.117590861578069E-9	11.904301074208299E-9	8.807578009714293E-9	10.139863443220488E-9
117.000000000000010E+0	10.929224332857361E-9	9.926870723247501E-9	8.117133590594513E-9	8.069820226876198E-9
118.000000000000010E+0	17.214456146318520E-9	13.835954848251701E-9	11.681635644467719E-9	14.739758229988836E-9
119.000000000000010E+0	89.040167173175097E-9	37.407231911522095E-9	57.437911374675802E-9	93.700355209739760E-9
120.000000000000010E+0	280.216123431324450E-9	70.704843933908388E-9	169.785986618556170E-9	259.034219417341780E-9
121.000000000000010E+0	77.736912868707714E-9	28.854452955085367E-9	45.668089687055516E-9	65.737504438157613E-9
122.000000000000010E+0	14.400412648436734E-9	13.487542898975584E-9	8.858985243931506E-9	17.094374271877754E-9
123.000000000000010E+0	8.488738611543263E-9	9.222161621268628E-9	6.266270103336224E-9	7.859681093468853E-9
124.000000000000010E+0	12.352058605000501E-9	15.526195935386930E-9	8.426261374701283E-9	10.948815965050245E-9
125.000000000000010E+0	17.419107992500949E-9	16.050054853328495E-9	10.704317890581465E-9	14.018271022009735E-9
126.000000000000010E+0	11.516270984645626E-9	8.945747581268618E-9	6.139349889323804E-9	9.305846811704606E-9
127.000000000000010E+0	9.919232602706625E-9	8.837707851456585E-9	6.490558659156414E-9	7.517172382779020E-9
128.000000000000030E+0	10.832654757899904E-9	12.520055066143281E-9	8.133100158230730E-9	9.051139273534637E-9
129.000000000000030E+0	8.611653668510943E-9	9.942948819338024E-9	9.638962609318703E-9	9.593722167604868E-9
130.000000000000030E+0	14.184227005719622E-9	9.816306486038862E-9	9.178325375638225E-9	11.149595197417440E-9
131.000000000000030E+0	17.150467082882351E-9	15.264133272026755E-9	12.195241624932074E-9	16.342503220056754E-9
132.000000000000030E+0	17.612554250340393E-9	18.275125218175712E-9	12.769226772535363E-9	18.106812358838035E-9
133.000000000000030E+0	10.050087222848681E-9	11.292108734776634E-9	6.449154615751813E-9	9.526149466241241E-9
134.000000000000030E+0	4.583963180583542E-9	4.609392825136407E-9	2.600094848472511E-9	3.322660813199551E-9
135.000000000000030E+0	9.486161623048142E-9	9.081341346917352E-9	5.000848933877157E-9	7.668377035563872E-9
136.000000000000030E+0	8.810422125262134E-9	8.112002008570260E-9	5.384761811542283E-9	7.736540271074113E-9
137.000000000000030E+0	9.318289344661191E-9	9.468257215001905E-9	5.536559008635771E-9	8.069833170381746E-9
138.000000000000030E+0	6.586980049740208E-9	8.331576420752913E-9	3.866457869792102E-9	6.280239468666618E-9
139.000000000000030E+0	7.757931882750127E-9	8.560618845663939E-9	4.350087902019151E-9	7.825443951763622E-9
140.000000000000030E+0	13.696437283353670E-9	14.305438597183035E-9	7.125034274354467E-9	13.970734732030906E-9
141.000000000000030E+0	41.468712925992584E-9	44.066403206413669E-9	25.897422932977171E-9	43.685106264780896E-9
142.000000000000030E+0	22.762038316411336E-9	25.222867089045441E-9	15.915675426047941E-9	23.346339512299643E-9
143.000000000000030E+0	8.485859141606930E-9	9.108157625853418E-9	6.521899542968202E-9	8.130684612533211E-9
144.000000000000030E+0	15.024818059321485E-9	16.313668111531865E-9	9.773297658331668E-9	14.171423262698028E-9
145.000000000000030E+0	6.731602689057906E-9	6.670040933600907E-9	5.981219139050741E-9	6.249384502178206E-9
146.000000000000030E+0	18.529803181799146E-9	17.226936728331774E-9	11.257115822123366E-9	15.862346556169358E-9
147.000000000000030E+0	19.957917268888338E-9	21.269009557495374E-9	12.733632386060027E-9	18.916250539833876E-9
148.000000000000030E+0	22.607361031726566E-9	23.250330560158051E-9	14.716485174932086E-9	22.378886510952159E-9
149.000000000000030E+0	59.526121332247067E-9	59.625252346163142E-9	34.053328945724706E-9	58.163676320818222E-9
150.000000000000030E+0	147.493127449527050E-9	155.697062527159880E-9	91.110657004195183E-9	155.558726423939760E-9
151.000000000000030E+0	67.970747115246008E-9	69.055150772834429E-9	43.525667985114655E-9	70.690022560753566E-9
152.000000000000030E+0	26.997669639039945E-9	26.390922249359015E-9	16.409660122368944E-9	27.077788978154370E-9
153.000000000000030E+0	32.646751840710770E-9	35.974412333694626E-9	23.565866446621042E-9	36.402491768029984E-9
154.000000000000030E+0	37.058442398856739E-9	37.955921962162801E-9	24.115241316758488E-9	37.248199646930364E-9
155.000000000000030E+0	41.680260026676691E-9	39.686892276183717E-9	26.117327702969104E-9	41.371093381910334E-9
156.000000000000030E+0	32.078857453900289E-9	31.927002778699675E-9	20.882132895945477E-9	34.118622175667124E-9
157.000000000000030E+0	31.919075878635168E-9	30.548428252413013E-9	20.296240572031305E-9	31.592080592645033E-9
158.000000000000030E+0	20.660183866188706E-9	19.844736924771029E-9	12.779240799395780E-9	20.250981972724389E-9
159.000000000000030E+0	22.908070999370368E-9	23.393852714239370E-9	17.032614812210897E-9	21.707891724613300E-9
