Freq (Hz)	Coh_mic2/mic1	Coh_mic3/mic1	Coh_mic4/mic1
199.000000000000030E+0	993.014912437440000E-3	580.811880845232940E-3	584.579068315109420E-3
200.000000000000030E+0	993.902253348534880E-3	607.377116720569600E-3	598.877551096213100E-3
201.000000000000030E+0	994.623297884446920E-3	645.963464564381470E-3	624.873093268780710E-3
202.000000000000030E+0	985.476501431801650E-3	946.715122159561110E-3	954.219512201681440E-3
203.000000000000030E+0	994.749025838755800E-3	970.768973788282530E-3	965.185306183095610E-3
204.000000000000030E+0	984.604275675199150E-3	963.686035871719080E-3	969.856419753648780E-3
205.000000000000030E+0	934.340610019998680E-3	881.307229318798900E-3	891.877095427030420E-3
206.000000000000030E+0	896.966191527860390E-3	816.459985493948940E-3	830.975282168021520E-3
207.000000000000030E+0	947.681147240498340E-3	907.152247807472830E-3	937.495482222133190E-3
208.000000000000030E+0	947.852684284313800E-3	878.038066913076840E-3	910.137509183652660E-3
209.000000000000030E+0	963.023723869370630E-3	911.452735028363880E-3	922.334876720883660E-3
210.000000000000030E+0	963.912614307753880E-3	935.118860537800020E-3	942.694048192572300E-3
211.000000000000030E+0	903.409869820287040E-3	842.982810288819270E-3	882.279980416341810E-3
212.000000000000030E+0	937.959433284904830E-3	877.287164971000340E-3	913.362283539935870E-3
213.000000000000030E+0	950.061099436695810E-3	810.288119636627830E-3	846.838327326159050E-3
214.000000000000030E+0	952.452044929275150E-3	871.928271284225900E-3	897.322184085427300E-3
215.000000000000030E+0	910.485253007673580E-3	834.638475776408150E-3	885.807924021935420E-3
216.000000000000030E+0	917.057904941610100E-3	790.592881756154050E-3	910.339192154308140E-3
217.000000000000030E+0	919.084137639165300E-3	808.781522014432540E-3	885.619450654573590E-3
218.000000000000030E+0	934.316159410447540E-3	819.698068168511540E-3	863.508726512565050E-3
219.000000000000030E+0	931.403016351056820E-3	899.991232024228820E-3	884.780592394923240E-3
220.000000000000030E+0	959.806024513932380E-3	959.881613925762540E-3	956.465535710996790E-3
221.000000000000030E+0	951.297385965300220E-3	910.486727478653220E-3	926.730903005621000E-3
222.000000000000030E+0	905.262496574200440E-3	760.768615098347030E-3	920.091027201701440E-3
223.000000000000030E+0	911.011745384484590E-3	755.102830709461710E-3	872.335296259621030E-3
224.000000000000030E+0	949.536680677664280E-3	835.057454234374610E-3	878.699032438875370E-3
225.000000000000030E+0	952.286935998226780E-3	861.451782109191600E-3	904.514700681428700E-3
226.000000000000030E+0	935.487528675760900E-3	892.135659955800800E-3	929.928370518378070E-3
227.000000000000030E+0	964.112893899148890E-3	959.510570089028510E-3	973.932435739223610E-3
228.000000000000030E+0	980.978392645467600E-3	983.105342488510560E-3	989.844670778446070E-3
229.000000000000030E+0	981.094352026359420E-3	978.271345116380700E-3	990.904166883327500E-3
230.000000000000030E+0	980.165407460658940E-3	964.820345157764940E-3	982.745992701912100E-3
231.000000000000030E+0	985.361730129039270E-3	967.749610917975510E-3	976.535124553643660E-3
232.000000000000030E+0	985.674606987429700E-3	970.543754265850820E-3	983.372473953920690E-3
233.000000000000030E+0	986.497449962995820E-3	981.558287414726060E-3	975.663355812690040E-3
234.000000000000030E+0	956.136389607941450E-3	956.455021192617050E-3	939.966889584265330E-3
235.000000000000030E+0	962.009412273100660E-3	982.672883573683430E-3	972.385354821164730E-3
236.000000000000030E+0	972.439191963193280E-3	968.843842088143890E-3	978.619296324885530E-3
237.000000000000030E+0	951.229897109548530E-3	939.812201778487450E-3	929.629993940089830E-3
238.000000000000030E+0	924.453499653008270E-3	848.484219449519790E-3	864.673357241559690E-3
239.000000000000030E+0	887.120423759528150E-3	877.432878774968340E-3	858.878578714329270E-3
240.000000000000030E+0	903.482653735231290E-3	846.341813048472110E-3	881.720198250611870E-3
241.000000000000030E+0	961.156248477166740E-3	936.537777148761410E-3	957.410632504678390E-3
242.000000000000030E+0	971.673537049729810E-3	840.281896032348150E-3	946.546889074133760E-3
243.000000000000030E+0	913.516514404784320E-3	644.213650912269900E-3	852.266647383125850E-3
244.000000000000030E+0	901.626331322981760E-3	907.000814801217190E-3	896.157117033186350E-3
245.000000000000030E+0	947.419913328870320E-3	845.445637122160810E-3	912.487890579727900E-3
246.000000000000030E+0	888.642397823170120E-3	849.672594737381210E-3	893.020645327258220E-3
247.000000000000030E+0	936.360791466627650E-3	914.792709247690960E-3	966.111932562154110E-3
248.000000000000030E+0	978.610167552533720E-3	967.386634545281510E-3	976.305926956979040E-3
