Freq (Hz)	Coh_micro/hp
570.000000000000110E+0	997.902709016928790E-3
571.000000000000110E+0	997.194529192252710E-3
572.000000000000110E+0	997.506356310940090E-3
573.000000000000110E+0	998.800007130913770E-3
574.000000000000110E+0	997.863746261758000E-3
575.000000000000110E+0	998.212562162423600E-3
576.000000000000110E+0	999.242687091398960E-3
577.000000000000110E+0	999.547870056381900E-3
578.000000000000110E+0	998.948110223292550E-3
579.000000000000110E+0	999.382705961482490E-3
580.000000000000110E+0	998.837819636704480E-3
581.000000000000110E+0	997.749742173401180E-3
582.000000000000110E+0	996.551062889204920E-3
583.000000000000110E+0	994.358583726729920E-3
584.000000000000110E+0	991.719863049649990E-3
585.000000000000110E+0	992.398451822364300E-3
586.000000000000110E+0	993.251631728564010E-3
587.000000000000110E+0	996.488690352638100E-3
588.000000000000110E+0	998.564908858702750E-3
589.000000000000110E+0	997.874774165097510E-3
590.000000000000110E+0	997.616393735383470E-3
591.000000000000110E+0	998.512585056381850E-3
592.000000000000110E+0	999.065082760145940E-3
593.000000000000110E+0	999.394718784174180E-3
594.000000000000110E+0	999.547389582483460E-3
595.000000000000110E+0	999.002745537049930E-3
596.000000000000110E+0	998.862182631846450E-3
597.000000000000110E+0	999.369753828833420E-3
598.000000000000110E+0	999.722122581112930E-3
599.000000000000110E+0	999.000034321829930E-3
600.000000000000110E+0	996.678048801682310E-3
601.000000000000110E+0	998.952301261873620E-3
602.000000000000110E+0	999.224764033632140E-3
603.000000000000110E+0	999.474290892331640E-3
604.000000000000110E+0	998.563179325110740E-3
605.000000000000110E+0	998.030592463704620E-3
606.000000000000110E+0	998.116996791735490E-3
607.000000000000110E+0	995.874888481461220E-3
608.000000000000110E+0	993.516517695782200E-3
609.000000000000110E+0	989.746450115439820E-3
610.000000000000110E+0	984.017469890624440E-3
611.000000000000110E+0	981.914426094073310E-3
612.000000000000110E+0	978.673305381170810E-3
613.000000000000110E+0	972.400615378094300E-3
614.000000000000110E+0	986.312696338733860E-3
615.000000000000110E+0	991.202282425679870E-3
616.000000000000110E+0	990.578759157712210E-3
617.000000000000110E+0	989.366681112168970E-3
618.000000000000110E+0	987.914231639240860E-3
619.000000000000110E+0	985.631059572442570E-3
620.000000000000110E+0	983.760967128849530E-3
621.000000000000110E+0	977.295275872070550E-3
622.000000000000110E+0	967.449988907865150E-3
623.000000000000110E+0	960.009958847794390E-3
624.000000000000110E+0	938.697596536849700E-3
625.000000000000110E+0	861.927203910608400E-3
626.000000000000110E+0	740.898666650850910E-3
627.000000000000110E+0	377.685391379291470E-3
628.000000000000110E+0	631.503170506937270E-3
629.000000000000110E+0	843.708713233017220E-3
630.000000000000110E+0	936.943812022408400E-3
631.000000000000110E+0	982.074194295784690E-3
632.000000000000110E+0	990.078310166417780E-3
633.000000000000110E+0	991.066627606183030E-3
634.000000000000110E+0	989.932840141453660E-3
635.000000000000110E+0	987.895275229206730E-3
636.000000000000110E+0	986.917941463472780E-3
637.000000000000110E+0	993.207212786648810E-3
638.000000000000110E+0	993.894927301885220E-3
639.000000000000110E+0	993.007401421183490E-3
640.000000000000110E+0	996.213738675770900E-3
641.000000000000110E+0	998.592415306058470E-3
642.000000000000110E+0	997.875693148594700E-3
643.000000000000110E+0	998.657926814228380E-3
644.000000000000110E+0	999.170016314017140E-3
645.000000000000110E+0	999.482805768400870E-3
646.000000000000110E+0	999.292212757555090E-3
647.000000000000110E+0	998.391160913947530E-3
648.000000000000110E+0	995.393747923656650E-3
649.000000000000110E+0	994.808810625792070E-3
650.000000000000110E+0	991.842056830598670E-3
651.000000000000110E+0	995.634161854488610E-3
