Freq (Hz)	mic1(Pa^2 )	mic2(Pa^2 )	mic3(Pa^2 )	mic4(Pa^2 )
1.051000000000000E+3	2.044073207051398E-3	49.727981643135309E-6	731.013678723560080E-6	34.239765259906112E-6
1.052000000000000E+3	2.404723474939945E-3	58.422208436554865E-6	871.781494823687850E-6	43.972038415850794E-6
1.053000000000000E+3	2.882388499784653E-3	70.193581327717962E-6	1.058983844701857E-3	57.491314469608003E-6
1.054000000000000E+3	3.409880956420449E-3	83.514654232624862E-6	1.269018604832986E-3	74.173727062958148E-6
1.055000000000000E+3	3.891850954074788E-3	96.245577514594778E-6	1.466897912665107E-3	92.367588133622036E-6
1.056000000000000E+3	4.259734045100319E-3	106.924825604998070E-6	1.625397594271657E-3	110.433350423542850E-6
1.057000000000000E+3	4.517896822578097E-3	115.782796556385300E-6	1.744130808570775E-3	128.175325609199390E-6
1.058000000000000E+3	4.765691047548785E-3	125.538931519712700E-6	1.860965318666094E-3	148.220798345002180E-6
1.059000000000000E+3	5.148144199566403E-3	140.295819624890800E-6	2.032412570141467E-3	175.781249656388950E-6
1.060000000000000E+3	5.754429713772753E-3	163.232384894281730E-6	2.294743272152827E-3	216.035180594599360E-6
1.061000000000000E+3	6.524001533663898E-3	194.017783205858050E-6	2.626494507317583E-3	269.855671898223420E-6
1.062000000000000E+3	7.241491384802494E-3	227.763431124661930E-6	2.942727127107050E-3	331.010977536973150E-6
1.063000000000000E+3	7.651653685968640E-3	257.079159688068980E-6	3.138166337131773E-3	388.238170003521790E-6
1.064000000000000E+3	7.629053571599769E-3	276.624061426903820E-6	3.157515949119846E-3	432.089785199562300E-6
1.065000000000000E+3	7.269664193306835E-3	287.835587205045880E-6	3.036585476588483E-3	463.030085880900720E-6
1.066000000000000E+3	6.831655157437238E-3	299.662095829646270E-6	2.880129459547273E-3	493.940751644090940E-6
1.067000000000000E+3	6.563116931004025E-3	323.904035607102850E-6	2.791955077045387E-3	544.030041539766130E-6
1.068000000000000E+3	6.539016692783057E-3	369.368416942688560E-6	2.804426334857806E-3	628.277160308462690E-6
1.069000000000000E+3	6.622332885760052E-3	436.178642472197690E-6	2.860998299427883E-3	746.970515696905870E-6
1.070000000000000E+3	6.580737804034974E-3	515.930487023360610E-6	2.863023276313619E-3	885.005093010672960E-6
1.071000000000000E+3	6.255715462358457E-3	599.142958952174820E-6	2.740918796618402E-3	1.023476285875830E-3
1.072000000000000E+3	5.666409922400304E-3	683.921524464211850E-6	2.501047007831820E-3	1.156717815734070E-3
