Freq (Hz)	mic2/mic1_Mod	mic2/mic1_Phase(rad)	mic3/mic1_Mod	mic3/mic1_Phase(rad)	mic4/mic1_Mod	mic4/mic1_Phase(rad)
2.041000000000000E+3	409.913144891959960E-3	-6.796454093901902E+0	174.646881849163490E-3	-9.508260794744031E+0	989.363447143462580E-3	-814.120062843025180E-3
2.042000000000000E+3	378.910621574927110E-3	-6.804122204337178E+0	160.798774135762160E-3	-9.480812249398092E+0	916.262756914678180E-3	-823.524729684962040E-3
2.043000000000000E+3	351.399105329920970E-3	-6.809347270537227E+0	148.800104692842160E-3	-9.447385288245025E+0	851.620286495517690E-3	-830.794111730702390E-3
2.044000000000000E+3	327.454485078557730E-3	-6.814394832540517E+0	138.611597405980470E-3	-9.414791095817927E+0	795.000417961613470E-3	-837.851204444492680E-3
2.045000000000000E+3	305.030811395634820E-3	-6.820131807801538E+0	128.750025170593750E-3	-9.378722511181042E+0	742.294207070238080E-3	-845.590322465344160E-3
2.046000000000000E+3	284.782394959534170E-3	-6.822988345849613E+0	120.495307683873630E-3	-9.335487900434448E+0	694.527522415502090E-3	-850.657990793324160E-3
2.047000000000000E+3	266.243315721545250E-3	-6.827594037845599E+0	112.892860193195920E-3	-9.295440472244096E+0	650.956413836909830E-3	-857.781433103625310E-3
2.048000000000000E+3	248.493312619489590E-3	-6.829815831544647E+0	105.729102958828950E-3	-9.245890933960872E+0	609.110663112653600E-3	-862.583605191893920E-3
2.049000000000000E+3	232.330084298816320E-3	-6.829893383628702E+0	99.480403377777568E-3	-9.192839259778939E+0	570.877121123026130E-3	-866.260101744038000E-3
2.050000000000000E+3	217.415194453278810E-3	-6.828285229062717E+0	94.035824370010887E-3	-9.131766994390111E+0	535.122428964344030E-3	-867.813754617824620E-3
2.051000000000000E+3	203.694330277908310E-3	-6.824508556331091E+0	89.675775260832424E-3	-9.064908079437913E+0	502.370107700857100E-3	-867.430625136103030E-3
2.052000000000000E+3	191.703461412566560E-3	-6.819476019235943E+0	86.566898600602890E-3	-9.001384229142936E+0	473.312271961665250E-3	-866.560465061487210E-3
2.053000000000000E+3	180.519269095111010E-3	-6.818335040264791E+0	83.313138879508281E-3	-8.939667926193842E+0	445.674603203464800E-3	-868.097056863465500E-3
2.054000000000000E+3	169.777024070736830E-3	-6.815456791981866E+0	80.960687490706382E-3	-8.872571999317817E+0	419.728601936168290E-3	-867.438721084951240E-3
2.055000000000000E+3	159.823847569597970E-3	-6.814747331196073E+0	78.423663951180111E-3	-8.811600042466583E+0	395.558300008483350E-3	-869.541699464974500E-3
2.056000000000000E+3	149.857243376036090E-3	-6.811620340609098E+0	76.479874727284389E-3	-8.732737370383616E+0	371.385226350404830E-3	-869.422414959574400E-3
2.057000000000000E+3	140.812194446756130E-3	-6.807212888205327E+0	75.705719850684944E-3	-8.661071584345269E+0	349.275353111530300E-3	-868.067856811207460E-3
2.058000000000000E+3	132.080377311326190E-3	-6.801542510826984E+0	75.373547123797957E-3	-8.588668137630087E+0	327.810219800329980E-3	-865.479984291969040E-3
2.059000000000000E+3	124.054273782794270E-3	-6.795027728062531E+0	75.660976883000164E-3	-8.522350632482270E+0	307.945606284318220E-3	-860.713170612175000E-3
2.060000000000000E+3	116.496109523051140E-3	-6.787047037395629E+0	76.373017419841940E-3	-8.464053150187425E+0	289.761028289894860E-3	-854.460915837417010E-3
2.061000000000000E+3	109.573447923829070E-3	-6.780202231458098E+0	76.684824961316164E-3	-8.412006445571411E+0	272.882628074575200E-3	-851.038980009819150E-3
2.062000000000000E+3	102.777924747559990E-3	-6.772456531147471E+0	77.279973792041448E-3	-8.355499103729001E+0	256.173546705920740E-3	-846.250122540209150E-3
2.063000000000000E+3	96.668403905777897E-3	-6.765215262226668E+0	78.089738221004928E-3	-8.305431677696204E+0	240.714247457181980E-3	-841.625530897402440E-3
2.064000000000000E+3	90.387505674517518E-3	-6.761420675757797E+0	78.986932546801877E-3	-8.251287505677455E+0	225.249429083774180E-3	-837.467653583036990E-3
2.065000000000000E+3	84.338169415058450E-3	-6.753225461561610E+0	80.636294281936596E-3	-8.203132739160370E+0	210.457389979116780E-3	-830.185060056746750E-3
2.066000000000000E+3	78.419274745664833E-3	-6.746269246293150E+0	82.258560799669242E-3	-8.160373639982492E+0	196.407074328896200E-3	-821.622978409492830E-3
2.067000000000000E+3	72.714629735799230E-3	-6.732593198293061E+0	83.948689638779689E-3	-8.123596955177476E+0	183.364148235859970E-3	-811.973244267140460E-3
2.068000000000000E+3	67.629867285561890E-3	-6.719188929847893E+0	85.344149894244978E-3	-8.087632847203963E+0	170.626421219677050E-3	-802.798047024031120E-3
2.069000000000000E+3	62.749468427398702E-3	-6.707682807425384E+0	86.765312706941322E-3	-8.052685450612595E+0	158.730351086237430E-3	-791.513803795563130E-3
2.070000000000000E+3	57.862886172431890E-3	-6.696564691754581E+0	88.304898715058436E-3	-8.014848164885072E+0	147.085819821974190E-3	-781.023183373843800E-3
