Freq (Hz)	Gxymic2/mic1_Real	Gxymic2/mic1_Imag	Gxymic3/mic1_Real	Gxymic3/mic1_Imag	Gxymic4/mic1_Real	Gxymic4/mic1_Imag
1.034000000000000E+3	58.984435311410518E-6	19.270767912449652E-6	-179.976065093183570E-6	18.190117173767851E-6	-9.641145807183648E-6	20.050504910043950E-6
1.035000000000000E+3	67.112591762840502E-6	21.941018697863792E-6	-209.448000428402370E-6	20.156554603537643E-6	-13.192977146380864E-6	22.758526947320418E-6
1.036000000000000E+3	76.027968595998948E-6	24.949108061750264E-6	-242.327534987554180E-6	22.281998267216824E-6	-17.414772368190116E-6	25.728717873082934E-6
1.037000000000000E+3	84.196801394870717E-6	27.602088688526064E-6	-273.704907216932540E-6	24.067440003682244E-6	-21.996282394417696E-6	28.486299764524216E-6
1.038000000000000E+3	90.468143182028830E-6	29.496090621367585E-6	-299.713182061677320E-6	25.029368120760363E-6	-26.594816479054373E-6	30.536070614879443E-6
1.039000000000000E+3	94.714527248160497E-6	30.621531349118388E-6	-319.475938944332060E-6	25.217420376864977E-6	-31.079426688165891E-6	31.824886060202198E-6
1.040000000000000E+3	98.151904927624658E-6	31.411308135282482E-6	-336.798750460416000E-6	24.946172900997428E-6	-35.719860734607674E-6	32.787040608946147E-6
1.041000000000000E+3	103.067891108518660E-6	32.727441769782174E-6	-360.121424431409700E-6	24.752860864115361E-6	-41.336957262037702E-6	34.078306768900526E-6
1.042000000000000E+3	111.974238378669790E-6	35.254670793947181E-6	-398.651710336012970E-6	25.479215008192739E-6	-49.241868787715853E-6	36.672323136326369E-6
1.043000000000000E+3	127.078027097898660E-6	39.459061640253079E-6	-460.465645346330480E-6	27.385275169452019E-6	-60.847883052593405E-6	41.215949965423061E-6
1.044000000000000E+3	148.290127305282260E-6	45.371178524218090E-6	-546.206841726856540E-6	30.242157919412443E-6	-76.971535117270027E-6	47.480125484778106E-6
1.045000000000000E+3	173.181378642029580E-6	52.111421319093101E-6	-647.273923467990520E-6	33.617572829791935E-6	-96.987192669671001E-6	54.719899451525537E-6
1.046000000000000E+3	198.105777215737530E-6	58.383894854420645E-6	-750.048642215486970E-6	36.667422469490875E-6	-118.987773241811740E-6	61.876342514670613E-6
1.047000000000000E+3	219.318764253616530E-6	63.286453046248659E-6	-840.143816987831560E-6	38.570825380945819E-6	-140.692803643748510E-6	67.830319620305123E-6
1.048000000000000E+3	236.166705822624360E-6	66.588623376484689E-6	-913.921324949516240E-6	39.092997542594478E-6	-161.131771353678070E-6	72.366061585620153E-6
1.049000000000000E+3	251.938431062386790E-6	69.147426278495474E-6	-982.867740006015570E-6	38.825770161457153E-6	-182.091335489067360E-6	76.371567313128513E-6
1.050000000000000E+3	273.403518511500200E-6	72.672276378661234E-6	-1.074220487994613E-3	38.483476666751918E-6	-208.666674399699940E-6	81.817725475756840E-6
1.051000000000000E+3	308.923656130429780E-6	78.822064753576780E-6	-1.221771729101745E-3	38.969042455606487E-6	-248.351043005725450E-6	91.158329436250357E-6
1.052000000000000E+3	364.133742973279350E-6	88.852281121655681E-6	-1.447306874142428E-3	41.178327953380352E-6	-307.523133671759620E-6	105.685587871806570E-6
1.053000000000000E+3	438.053749099457960E-6	102.139174217348990E-6	-1.746550215105303E-3	44.322336141142712E-6	-387.482882649683240E-6	124.772635803003200E-6
1.054000000000000E+3	520.870347396616130E-6	116.050399897496810E-6	-2.079666350759371E-3	46.782687068396284E-6	-481.377706181174690E-6	145.594417246883690E-6
