Freq (Hz)	mic2/mic1_Real	mic2/mic1_Imag	mic3/mic1_Real	mic3/mic1_Imag	mic4/mic1_Real	mic4/mic1_Imag
1.012000000000000E+3	232.629674021174680E-3	54.080676356381321E-3	-455.142258823657000E-3	83.052546450465989E-3	45.696123808465078E-3	66.873068122494675E-3
1.013000000000000E+3	229.745942880790590E-3	54.665373840588130E-3	-455.421532367222770E-3	84.805434174277397E-3	44.053348152869806E-3	68.188303890349758E-3
1.014000000000000E+3	226.500309539753750E-3	54.478954335991918E-3	-455.451622663020080E-3	85.631776870857268E-3	42.585167266107497E-3	69.307589739540862E-3
1.015000000000000E+3	223.104967787816050E-3	54.027158979420016E-3	-455.378218476491680E-3	85.665117951751926E-3	41.003591289583904E-3	70.146363398533806E-3
1.016000000000000E+3	219.841195119423520E-3	54.462598252236066E-3	-455.686364698060840E-3	85.024471391688838E-3	39.327109616939117E-3	70.728355308758803E-3
1.017000000000000E+3	216.740219838844890E-3	54.968595953307831E-3	-456.845738130160770E-3	84.416402927498593E-3	37.453844437789471E-3	70.837114094288056E-3
1.018000000000000E+3	213.467175144346490E-3	55.197893807035651E-3	-458.490167700876140E-3	83.588307998656255E-3	35.199182999468427E-3	70.780875766549248E-3
1.019000000000000E+3	210.055070916428920E-3	55.392374831585073E-3	-460.582588361941160E-3	82.296661286323250E-3	32.793652153120766E-3	70.740701396012504E-3
1.020000000000000E+3	206.403359732626880E-3	55.803425207926950E-3	-463.127964960430790E-3	81.124608928457423E-3	30.129757047659585E-3	70.320234053865560E-3
1.021000000000000E+3	202.954758438673280E-3	56.548186769198878E-3	-465.728092495471920E-3	79.799108400861782E-3	27.231961368658002E-3	69.691130283536143E-3
1.022000000000000E+3	199.784932908668080E-3	57.347978544202004E-3	-468.299679562633410E-3	78.074545588897676E-3	24.273402137139452E-3	69.262552973646765E-3
1.023000000000000E+3	197.025726317788810E-3	57.811127309009794E-3	-471.038564254631480E-3	76.240682141792651E-3	20.968013928273275E-3	68.675963525287875E-3
1.024000000000000E+3	194.441920407494220E-3	58.030714304746413E-3	-474.151585294526450E-3	74.000050996135130E-3	17.285398638882558E-3	67.773835474895433E-3
1.025000000000000E+3	191.873872963308540E-3	58.440401836848219E-3	-478.149324086166230E-3	71.452355440730961E-3	13.378139109338941E-3	66.961536487547338E-3
1.026000000000000E+3	189.219213812579940E-3	58.519420166659002E-3	-482.768352365588460E-3	69.190808514974653E-3	9.336629460354861E-3	66.144230822750061E-3
1.027000000000000E+3	186.365393956274050E-3	58.145130089863953E-3	-487.278940039068240E-3	67.233093759361512E-3	5.411628142336867E-3	65.186832818195567E-3
1.028000000000000E+3	183.790674606438330E-3	57.620626300950779E-3	-491.714739728261130E-3	65.349618141045021E-3	1.472534387232000E-3	64.054477145642774E-3
1.029000000000000E+3	181.415546510273450E-3	57.414688923158097E-3	-496.046851019361190E-3	63.586647422374354E-3	-2.851377079566548E-3	62.868286386546360E-3
1.030000000000000E+3	179.145618112704660E-3	57.566569382784989E-3	-500.307160245944020E-3	61.785903125096235E-3	-7.513993465424950E-3	61.792176856873757E-3
1.031000000000000E+3	176.724999750245250E-3	57.275612833344307E-3	-504.634665054010780E-3	59.643632052291805E-3	-12.472037991946816E-3	60.724941669055982E-3
1.032000000000000E+3	174.164310390229480E-3	56.782585585086962E-3	-509.053292300865930E-3	57.273378722782056E-3	-17.643010408417922E-3	59.666105533022408E-3
1.033000000000000E+3	172.040530420059680E-3	56.332132523103672E-3	-513.769849881989040E-3	54.783772890879268E-3	-22.700657173407780E-3	58.696542894918206E-3
1.034000000000000E+3	170.042914380140380E-3	55.554614041415207E-3	-518.841102484848160E-3	52.439086518975803E-3	-27.795300902888793E-3	57.805350979576259E-3
1.035000000000000E+3	167.830091319868620E-3	54.868439364195581E-3	-523.768538554166830E-3	50.405681244930695E-3	-32.992933837141546E-3	56.914414803615893E-3
1.036000000000000E+3	165.803612842208430E-3	54.409611754989845E-3	-528.468971903566340E-3	48.592681458332516E-3	-37.979408792607555E-3	56.111068990851234E-3
1.037000000000000E+3	164.045633026507510E-3	53.778790129180694E-3	-533.270120857416100E-3	46.891547433309110E-3	-42.857858911582794E-3	55.503097947627221E-3
1.038000000000000E+3	162.389494871121500E-3	52.945214615924545E-3	-537.978485636078530E-3	44.927158243121844E-3	-47.738542603854427E-3	54.813219303499472E-3
1.039000000000000E+3	160.821682824649730E-3	51.994201368181656E-3	-542.454910721315690E-3	42.817977354901171E-3	-52.772609270602198E-3	54.038393114116928E-3
1.040000000000000E+3	159.397718411253250E-3	51.011652323700196E-3	-546.954533280586070E-3	40.512093164091011E-3	-58.009672421959362E-3	53.246721747929444E-3
1.041000000000000E+3	157.879777111648880E-3	50.132016445426426E-3	-551.632247718783050E-3	37.916311970333690E-3	-63.320597710417911E-3	52.201683348074027E-3
1.042000000000000E+3	156.290544688095890E-3	49.207494339475834E-3	-556.424884955080470E-3	35.563046418965072E-3	-68.731443619978960E-3	51.186962885674522E-3
1.043000000000000E+3	154.975353484749310E-3	48.121474384896633E-3	-561.548109225780360E-3	33.396952948503068E-3	-74.206945669647084E-3	50.264850745315864E-3
1.044000000000000E+3	153.864843919259670E-3	47.076831269353213E-3	-566.737144632646910E-3	31.378871367833003E-3	-79.865852471881882E-3	49.265493945734089E-3
1.045000000000000E+3	152.928566064533510E-3	46.017216171875340E-3	-571.574459419617600E-3	29.685957243939839E-3	-85.645001820545824E-3	48.320667493776302E-3
1.046000000000000E+3	152.205412010593680E-3	44.856565497446522E-3	-576.263133981293360E-3	28.171617943165823E-3	-91.418859243169545E-3	47.539881558545674E-3
1.047000000000000E+3	151.626028085335960E-3	43.753089434314371E-3	-580.831793618429960E-3	26.665865098763782E-3	-97.268052362546417E-3	46.894531274693646E-3
1.048000000000000E+3	151.211318281229270E-3	42.634940806825360E-3	-585.158777252964830E-3	25.030174935945733E-3	-103.168680185188180E-3	46.334195927140172E-3
1.049000000000000E+3	151.065342153256120E-3	41.461636343965762E-3	-589.338429729088120E-3	23.280363663004660E-3	-109.184605691784840E-3	45.793499403754906E-3
1.050000000000000E+3	151.061536229115940E-3	40.153052055786516E-3	-593.527774629887480E-3	21.262871562502676E-3	-115.293040107205770E-3	45.206137165381251E-3
1.051000000000000E+3	151.132068117710490E-3	38.561442036302317E-3	-597.714418191579110E-3	19.064411120365627E-3	-121.498554203804630E-3	44.596572239413559E-3
1.052000000000000E+3	151.424989703974440E-3	36.949214440169770E-3	-601.860085147635000E-3	17.123937162907214E-3	-127.883356969159510E-3	43.949304232609863E-3
1.053000000000000E+3	151.976584997487560E-3	35.435749434692694E-3	-605.938590399707210E-3	15.376949172324142E-3	-134.431628104591530E-3	43.288076260812540E-3
1.054000000000000E+3	152.753614586879920E-3	34.033648003189601E-3	-609.894236047973550E-3	13.719744602028502E-3	-141.171787555040920E-3	42.697914500097883E-3
