Freq (Hz)	mic1(Pa^2 )	mic2(Pa^2 )	mic3(Pa^2 )	mic4(Pa^2 )
630.000000000000110E+0	50.656466831946844E-9	44.587331615024896E-9	29.714744582390516E-9	46.527134694197267E-9
631.000000000000110E+0	80.474792068006195E-9	71.158835988147411E-9	44.759479995605055E-9	76.639199834211908E-9
632.000000000000110E+0	72.802303275222054E-9	63.593839122867454E-9	38.683120482859272E-9	66.961397170634784E-9
633.000000000000110E+0	117.759873138428180E-9	103.140254958964000E-9	67.854092538207986E-9	116.460710403924770E-9
634.000000000000110E+0	120.717984807376540E-9	112.833089000678610E-9	68.133849761353567E-9	112.427571202929540E-9
635.000000000000110E+0	197.421261853654920E-9	179.331341278077370E-9	112.538795821534120E-9	184.572528519393880E-9
636.000000000000110E+0	342.072473759508570E-9	287.552308895509820E-9	188.853164616471070E-9	327.727509303058440E-9
637.000000000000110E+0	498.847863368940100E-9	450.521971960669240E-9	281.236959757015130E-9	470.204388280065670E-9
638.000000000000110E+0	547.206431310384810E-9	469.400731540250810E-9	294.393810148729440E-9	513.989331600518220E-9
639.000000000000110E+0	597.345999613274070E-9	527.982674733445310E-9	328.426779507159020E-9	567.368193206288300E-9
640.000000000000110E+0	819.058844533465080E-9	726.673788884319830E-9	449.732207989912740E-9	770.408809778008600E-9
641.000000000000110E+0	1.039918088099687E-6	910.967755447341570E-9	568.717498701837320E-9	973.410207786643250E-9
642.000000000000110E+0	1.070224495177330E-6	941.853971421056730E-9	585.518672445010800E-9	995.851434485215710E-9
643.000000000000110E+0	1.857204578466944E-6	1.629213716353795E-6	1.018632069420625E-6	1.772356504221217E-6
644.000000000000110E+0	2.328199022649428E-6	2.036150167253917E-6	1.266907186987166E-6	2.167273957252273E-6
645.000000000000110E+0	3.308283740028602E-6	2.890657879222543E-6	1.804474282264140E-6	3.130803435453002E-6
646.000000000000110E+0	4.908966364648368E-6	4.310417873449914E-6	2.701124815703445E-6	4.613140925211097E-6
647.000000000000110E+0	5.027745283661513E-6	4.391008624339149E-6	2.742360856332176E-6	4.731866638574890E-6
648.000000000000110E+0	6.747928060803756E-6	5.885941307445490E-6	3.671866722353806E-6	6.379288875803581E-6
649.000000000000110E+0	8.023282342302232E-6	6.962389917113780E-6	4.372736721816964E-6	7.474863468232763E-6
650.000000000000110E+0	6.832577656054209E-6	5.975692615359819E-6	3.725784271868630E-6	6.424940155357390E-6
651.000000000000110E+0	5.581704087941821E-6	4.929473306952087E-6	3.064767831261636E-6	5.268579222754056E-6
652.000000000000110E+0	3.824897085873515E-6	3.303255522927882E-6	2.093110590019564E-6	3.614960121471998E-6
653.000000000000110E+0	4.064379151116144E-6	3.523064387780241E-6	2.210621627872771E-6	3.796757738599790E-6
654.000000000000110E+0	3.225226766473599E-6	2.816151542931992E-6	1.781326443517837E-6	3.030509746113211E-6
655.000000000000110E+0	2.663609011789433E-6	2.332113009741445E-6	1.458350837446952E-6	2.471837428576214E-6
656.000000000000110E+0	1.685130809683362E-6	1.468616210033972E-6	923.607362165503630E-9	1.589098634671844E-6
657.000000000000110E+0	1.416524492304969E-6	1.242737107285334E-6	781.553557853783530E-9	1.342058490138953E-6
658.000000000000110E+0	1.229179211999856E-6	1.066049862701286E-6	681.802698560529900E-9	1.141128833284676E-6
659.000000000000110E+0	895.895309199138820E-9	787.923064070432620E-9	491.564539908690690E-9	836.136662347515100E-9
660.000000000000110E+0	690.380786858379550E-9	597.360518288454020E-9	381.205229871704170E-9	646.907832610333330E-9
661.000000000000110E+0	538.099104946802320E-9	476.926018379847990E-9	295.322608012588670E-9	504.889100370828360E-9
662.000000000000110E+0	527.808160758934330E-9	451.429036868795990E-9	293.134566926970280E-9	482.825398347416040E-9
663.000000000000110E+0	415.108216334378860E-9	360.346675047257110E-9	232.527227295978540E-9	381.399428566819310E-9
664.000000000000110E+0	390.545995608059000E-9	330.148774656033350E-9	211.992858173487570E-9	368.701214296337680E-9
665.000000000000110E+0	433.775640164267190E-9	367.289005429333520E-9	236.255526632936470E-9	399.638665956395410E-9
666.000000000000110E+0	413.147598672354520E-9	358.736345139714030E-9	227.144036774816890E-9	373.848197091313490E-9
667.000000000000110E+0	371.173247007793800E-9	329.937900546080400E-9	210.850991623151640E-9	347.621521786563100E-9
668.000000000000110E+0	376.825915086217180E-9	317.303124194514250E-9	200.891553497024600E-9	348.232753152131690E-9
669.000000000000110E+0	268.228611031824360E-9	234.362407507770510E-9	151.409341271810860E-9	241.505364970127130E-9
670.000000000000110E+0	285.398090652035590E-9	243.458999039779690E-9	150.385210166382840E-9	256.480551732113200E-9
