Freq (Hz)	mic1(Pa^2 )	mic2(Pa^2 )	mic3(Pa^2 )	mic4(Pa^2 )
1.096000000000000E+3	5.387687946300605E-6	48.102892688370689E-9	2.378144457819640E-6	6.835018021335953E-9
1.097000000000000E+3	2.623880158804020E-6	21.913083494688211E-9	1.160747582347465E-6	2.461693330620982E-9
1.098000000000000E+3	2.476801377634974E-6	16.820880963755980E-9	1.088580375041906E-6	1.385096829897911E-9
1.099000000000000E+3	2.053178790262948E-6	12.578896410910836E-9	901.554627449540740E-9	1.224053513153618E-9
1.100000000000000E+3	1.510248781618828E-6	8.569478488048093E-9	668.627251940666310E-9	809.865144582619650E-12
1.101000000000000E+3	1.688751598311764E-6	8.970976057345218E-9	747.962450911414360E-9	813.597461252240520E-12
1.102000000000000E+3	1.243880132055182E-6	5.347833647052157E-9	553.587201299695220E-9	625.975077718873420E-12
1.103000000000000E+3	795.405828913554050E-9	3.482133688289469E-9	356.822653017684540E-9	771.714946870907930E-12
1.104000000000000E+3	718.082982975635150E-9	2.501538035300870E-9	318.722600994274950E-9	587.759806787124340E-12
1.105000000000000E+3	939.771909294070090E-9	3.086524858085166E-9	406.535086356316530E-9	543.076929742309070E-12
1.106000000000000E+3	1.772716484122588E-6	4.732373193073290E-9	774.835683253611230E-9	1.181253828406863E-9
1.107000000000000E+3	2.388888352989139E-6	5.212185794199193E-9	1.039918752898696E-6	1.689504225664213E-9
1.108000000000000E+3	971.323562289438200E-9	1.783280845820452E-9	424.123385042765220E-9	717.972823637949740E-12
1.109000000000000E+3	606.284748198623580E-9	1.093982245788251E-9	260.591834980822660E-9	620.385149988217710E-12
1.110000000000000E+3	1.288004530933972E-6	1.539086303606601E-9	552.275339775393230E-9	2.210025427388245E-9
1.111000000000000E+3	3.197434126523017E-6	5.091907281279438E-9	1.379829329880280E-6	5.220787548532454E-9
1.112000000000000E+3	5.766345666075441E-6	6.891741095878410E-9	2.456443149760334E-6	7.637087297105060E-9
1.113000000000000E+3	3.171373858880514E-6	5.726595607649013E-9	1.341218481062013E-6	4.430544212581520E-9
1.114000000000000E+3	1.638932454369675E-6	2.188588452033628E-9	685.425123704575670E-9	3.865917729578463E-9
1.115000000000000E+3	690.771324703053830E-9	744.976985375969260E-12	293.892765444931280E-9	1.333929845686631E-9
1.116000000000000E+3	1.453834007282215E-6	1.106168005955552E-9	607.614153142399480E-9	2.456958358799090E-9
1.117000000000000E+3	4.786137840987523E-6	2.617842951398696E-9	1.983419844955378E-6	7.042717685593950E-9
1.118000000000000E+3	4.407544602696101E-6	2.540599865974967E-9	1.836515113238579E-6	6.743510073658446E-9
1.119000000000000E+3	3.191035272557257E-6	1.255503485897848E-9	1.316965750085499E-6	6.154086048357102E-9
1.120000000000000E+3	3.289661758960690E-6	1.663151637511859E-9	1.347432663933763E-6	5.540260228363644E-9
1.121000000000000E+3	2.946303091846783E-6	1.333595242381018E-9	1.196069888829609E-6	5.134501609107759E-9
1.122000000000000E+3	2.996493693074349E-6	1.064712934060077E-9	1.212487820101414E-6	6.793928494564585E-9
1.123000000000000E+3	2.327058883301655E-6	680.196987890189840E-12	932.132788485376530E-9	5.549766849196246E-9
1.124000000000000E+3	1.920962405046457E-6	565.696300035947180E-12	768.294439800295960E-9	3.376406940193878E-9
1.125000000000000E+3	1.522004832015638E-6	592.771242959572570E-12	603.601885092593180E-9	2.915985841365472E-9
1.126000000000000E+3	1.697759551050610E-6	315.074373413797860E-12	666.462830420021880E-9	3.996431909820676E-9
1.127000000000000E+3	1.672986762790189E-6	648.999556929787570E-12	653.330631139153750E-9	5.060564797449819E-9
1.128000000000000E+3	4.078536666853730E-6	1.274274371419230E-9	1.595895204480897E-6	9.938653564974246E-9
1.129000000000000E+3	2.260838815341367E-6	784.253876628486240E-12	878.278209426965550E-9	5.117137575803294E-9
1.130000000000000E+3	2.562735070866073E-6	1.003241083378913E-9	975.613105440664890E-9	6.246115448672201E-9
1.131000000000000E+3	5.416198735214093E-6	2.595986460632116E-9	2.067291563668316E-6	13.451846517420395E-9
1.132000000000000E+3	9.280982696052959E-6	5.488125366039609E-9	3.506953713842293E-6	21.922945138699894E-9
1.133000000000000E+3	13.357261236199337E-6	8.506446769371535E-9	4.989537171384267E-6	31.611743317819645E-9
1.134000000000000E+3	15.258336069459732E-6	9.369355442696494E-9	5.683322328864219E-6	36.103010427827367E-9
1.135000000000000E+3	9.315240610203206E-6	8.017874569254245E-9	3.454086472367778E-6	24.703325056920720E-9
1.136000000000000E+3	12.472921839233844E-6	12.333906538189681E-9	4.605051896727200E-6	34.039381569224177E-9
1.137000000000000E+3	11.436495127139181E-6	13.185632520568112E-9	4.191113545276278E-6	32.345749613302186E-9
1.138000000000000E+3	19.197349136672487E-6	28.376135559629836E-9	6.971678268963259E-6	61.121825480402740E-9
1.139000000000000E+3	19.383976747898522E-6	29.383295552715180E-9	6.993109954366035E-6	59.691388070544457E-9
1.140000000000000E+3	33.256918732477487E-6	65.941733543151519E-9	11.903815890564109E-6	108.523637376904200E-9
1.141000000000000E+3	52.883206101792664E-6	116.370747588263280E-9	18.819551259861453E-6	176.718582020416620E-9
1.142000000000000E+3	63.219309687179430E-6	156.034529935461060E-9	22.317082464946970E-6	219.783639092460550E-9
1.143000000000000E+3	60.212405515287608E-6	162.410735793731150E-9	21.087335923601923E-6	205.603660082907170E-9
1.144000000000000E+3	147.796357334495220E-6	471.790588193452940E-9	51.348482956362853E-6	552.371888708806890E-9
1.145000000000000E+3	144.709648769960090E-6	502.498577526034970E-9	50.094567287156620E-6	565.648204626171100E-9
1.146000000000000E+3	77.735747073696241E-6	317.181124527860910E-9	26.684717089521142E-6	327.969053187856920E-9
1.147000000000000E+3	45.554156149727627E-6	211.350302920652960E-9	15.504691516677365E-6	196.853264207842320E-9
1.148000000000000E+3	58.669462444125179E-6	308.648453992623040E-9	19.816244745619731E-6	269.104563238239320E-9
1.149000000000000E+3	60.964637167612110E-6	366.596281956426590E-9	20.462306300503480E-6	304.807535531935470E-9
1.150000000000000E+3	41.518851255336218E-6	264.449226723872890E-9	13.834611602893838E-6	214.634488019114340E-9
1.151000000000000E+3	21.974012245540445E-6	161.891878898018330E-9	7.233543948668516E-6	125.990772036182630E-9
1.152000000000000E+3	11.032119694359334E-6	90.007928840728452E-9	3.608972528899025E-6	66.597638428841236E-9
1.153000000000000E+3	7.526358485387735E-6	70.368323578334077E-9	2.459192097337918E-6	50.441217112549491E-9
1.154000000000000E+3	8.834491372804523E-6	97.180177284883525E-9	2.846166082348687E-6	69.315763557143184E-9
1.155000000000000E+3	8.842559302406675E-6	123.134211078979810E-9	2.836769654168603E-6	86.628222048369404E-9
1.156000000000000E+3	4.543843339140213E-6	69.306693616094666E-9	1.450841801977585E-6	47.337140429041002E-9
1.157000000000000E+3	16.919195809650438E-6	354.740243099590630E-9	5.315947293798442E-6	240.257120491081270E-9
1.158000000000000E+3	54.383448722141717E-6	1.029474476737397E-6	17.017835536682339E-6	687.261910570973020E-9
1.159000000000000E+3	15.250278223847521E-6	314.271448026195960E-9	4.771645072043138E-6	221.594641808965370E-9
1.160000000000000E+3	3.377767004598346E-6	110.169886834711390E-9	1.037182070999616E-6	89.410875223505646E-9
1.161000000000000E+3	4.149146941968567E-6	105.677364867751780E-9	1.262663601473058E-6	80.974718665604265E-9
1.162000000000000E+3	8.797758066990197E-6	328.757594473763260E-9	2.647333163188414E-6	274.257368006682090E-9
1.163000000000000E+3	20.808447496528512E-6	795.497527038674330E-9	6.238202622435716E-6	672.399927320629040E-9
1.164000000000000E+3	10.861720538395503E-6	343.854791956665340E-9	3.253499425741882E-6	291.430902095742620E-9
1.165000000000000E+3	4.679994170906456E-6	101.409334465329670E-9	1.381845084793821E-6	115.530414587169480E-9
1.166000000000000E+3	11.036657121022930E-6	220.875250871369640E-9	3.239005537392036E-6	272.090011537165510E-9
1.167000000000000E+3	15.246230405473654E-6	213.706072441263980E-9	4.456977454597316E-6	273.146994591635180E-9
1.168000000000000E+3	11.598844512091112E-6	99.003469599997413E-9	3.367167850539636E-6	150.120855309698250E-9
1.169000000000000E+3	8.880806362882160E-6	61.841824175574341E-9	2.550939384057673E-6	98.760450601062146E-9
1.170000000000000E+3	5.807372513057837E-6	21.894087112008939E-9	1.668858340696686E-6	46.179182405544457E-9
1.171000000000000E+3	3.291716786696059E-6	8.858032589898447E-9	939.581182372053290E-9	19.318624365212587E-9
1.172000000000000E+3	4.091200814857095E-6	9.877520138186009E-9	1.148913029659484E-6	15.609375820015215E-9
1.173000000000000E+3	3.628146491296141E-6	6.928863515048184E-9	1.013288004890952E-6	14.209381980666734E-9
1.174000000000000E+3	2.073951584224819E-6	5.240415749225989E-9	578.126835328625870E-9	6.398668590354130E-9
1.175000000000000E+3	2.793905034682185E-6	8.552119521224650E-9	770.292154978415570E-9	5.596608399570401E-9
1.176000000000000E+3	5.548821029534441E-6	13.270582414446490E-9	1.515735782189723E-6	8.460033709640607E-9
1.177000000000000E+3	5.555229211149057E-6	12.168047022901601E-9	1.513112441224761E-6	10.690993114363315E-9
1.178000000000000E+3	2.955291329765472E-6	9.834336754474181E-9	804.808711855027300E-9	3.552102026405848E-9
1.179000000000000E+3	2.964495879352351E-6	10.402167220971819E-9	797.057056248917500E-9	5.016802295105824E-9
1.180000000000000E+3	2.837043309997938E-6	12.430843330024838E-9	753.312423607397280E-9	3.694189876988884E-9
1.181000000000000E+3	2.275234037562293E-6	8.092187574619507E-9	603.863554941878280E-9	2.890406604140513E-9
1.182000000000000E+3	1.468127462892128E-6	4.977569625438520E-9	383.055994829426110E-9	3.086116037143316E-9
1.183000000000000E+3	1.114795217864259E-6	4.940874541603427E-9	289.424949463933190E-9	1.850358822574667E-9
1.184000000000000E+3	1.429050855734398E-6	8.536293607049341E-9	367.288259221243140E-9	1.983807405840060E-9
1.185000000000000E+3	2.644610758174528E-6	12.508903599952892E-9	688.037183857635480E-9	3.421585194939769E-9
1.186000000000000E+3	1.378021360202814E-6	6.709437570692524E-9	356.737386051158460E-9	2.360541434785683E-9
1.187000000000000E+3	1.378270047615794E-6	7.208135445447651E-9	351.782873319708970E-9	3.100601800534137E-9
1.188000000000000E+3	2.492811845264267E-6	12.390711432896922E-9	634.592391170282700E-9	3.462462353486227E-9
1.189000000000000E+3	1.139908830865583E-6	6.808277300220763E-9	287.951956314278750E-9	2.486409853371622E-9
1.190000000000000E+3	593.552086192667240E-9	4.223329041274881E-9	152.090443443233760E-9	1.975346911150792E-9
1.191000000000000E+3	585.575458915013450E-9	3.488324358627715E-9	148.230486382496560E-9	1.483801994098192E-9
1.192000000000000E+3	1.422247924172317E-6	9.309617838473483E-9	353.878795503049120E-9	2.425781342258278E-9
1.193000000000000E+3	3.366060434985836E-6	19.668069346428038E-9	826.672479470481560E-9	6.462597619126011E-9
1.194000000000000E+3	4.286791337672011E-6	23.339810635418387E-9	1.057180225102884E-6	6.154781596501521E-9
1.195000000000000E+3	3.143127347754058E-6	18.517332564958247E-9	773.704136468842870E-9	4.147239069283664E-9
1.196000000000000E+3	1.726288461734080E-6	10.191509664222091E-9	421.898739215791610E-9	2.967273603200382E-9
1.197000000000000E+3	2.107254574123934E-6	12.059152165340204E-9	510.323509761580610E-9	3.351465411567309E-9
1.198000000000000E+3	6.120153660494795E-6	33.659954414791528E-9	1.478487951120717E-6	7.276416238999012E-9
1.199000000000000E+3	6.222389295721552E-6	35.411413576912811E-9	1.493055631072108E-6	8.384305542116844E-9
1.200000000000000E+3	3.951546560764746E-6	23.518868599278753E-9	936.252783572995420E-9	5.793315872407506E-9
1.201000000000000E+3	4.826827976529645E-6	29.672904654247507E-9	1.143557750210566E-6	7.145515585930953E-9
1.202000000000000E+3	6.609148576760186E-6	39.932070814531624E-9	1.569436679902889E-6	10.781708552160231E-9
1.203000000000000E+3	4.189446402512484E-6	25.599779055507624E-9	992.636921421902270E-9	7.566650999152211E-9
1.204000000000000E+3	3.233364838519029E-6	17.770629913190815E-9	760.728633082249630E-9	5.370469576086623E-9
1.205000000000000E+3	2.547882821595398E-6	13.057956836412116E-9	600.983196629446780E-9	5.606572410840669E-9
1.206000000000000E+3	7.601630744428448E-6	44.954352680724473E-9	1.776855670977692E-6	14.284727232842294E-9
1.207000000000000E+3	10.559914045035095E-6	64.830331884481242E-9	2.487261363168890E-6	19.267568033486646E-9
