Freq (Hz)	Coh_mic1/mic2	Coh_mic3/mic2	Coh_mic4/mic2
1.278000000000000E+3	981.701722733097300E-3	983.599030165298590E-3	985.754389708917160E-3
1.279000000000000E+3	979.932946597665060E-3	986.105490391443460E-3	979.198395450696870E-3
1.280000000000000E+3	994.002558484733180E-3	993.767669022645790E-3	991.064780498229990E-3
1.281000000000000E+3	980.459178015211870E-3	985.656954381748380E-3	963.543550037821660E-3
1.282000000000000E+3	996.696152288854220E-3	997.752222511307680E-3	993.445754406970470E-3
1.283000000000000E+3	993.884658026980340E-3	995.288197840584750E-3	982.151642644552350E-3
1.284000000000000E+3	983.691423916067010E-3	986.649769835049480E-3	963.189533198197780E-3
1.285000000000000E+3	986.200503652706060E-3	992.684147115241890E-3	957.441589943768490E-3
1.286000000000000E+3	993.809850055654810E-3	997.285984701273610E-3	986.130174545111870E-3
1.287000000000000E+3	990.627111912071640E-3	993.464133815825880E-3	979.741126775379500E-3
1.288000000000000E+3	989.756708154120650E-3	993.393546562524100E-3	976.831227368383790E-3
1.289000000000000E+3	996.782035118131680E-3	998.061016166156500E-3	993.561056124527720E-3
1.290000000000000E+3	998.623930887084680E-3	999.229694756390900E-3	998.537986297667550E-3
1.291000000000000E+3	998.378577404653970E-3	999.352976518808720E-3	997.075538320634890E-3
1.292000000000000E+3	996.585915967911020E-3	998.822528863999800E-3	994.837499093854990E-3
1.293000000000000E+3	991.016989965800010E-3	996.938618277975920E-3	993.003616612332500E-3
1.294000000000000E+3	996.281457492004580E-3	996.814641794795510E-3	993.609397676563640E-3
1.295000000000000E+3	997.523663888368220E-3	997.151127267081220E-3	996.271392986707530E-3
1.296000000000000E+3	995.621689946334820E-3	994.693135790229110E-3	995.084711441481920E-3
1.297000000000000E+3	992.956698412566840E-3	994.740400327158710E-3	995.001184852671970E-3
1.298000000000000E+3	990.275583809941520E-3	989.177837663493650E-3	989.838623249923440E-3
1.299000000000000E+3	982.789724488767890E-3	978.623783835945500E-3	981.293230518834210E-3
1.300000000000000E+3	988.841683917617180E-3	986.984302953591300E-3	990.658211750444220E-3
1.301000000000000E+3	996.937070752755730E-3	997.746094279791000E-3	998.139880177409180E-3
1.302000000000000E+3	995.631236242071390E-3	996.732183668599280E-3	998.690258189475100E-3
1.303000000000000E+3	996.375358929298740E-3	998.462154671160400E-3	998.205617560084970E-3
1.304000000000000E+3	999.366048671759710E-3	999.582115793608670E-3	999.369804535991110E-3
1.305000000000000E+3	997.584306623662710E-3	997.621388876829270E-3	999.060574888951610E-3
1.306000000000000E+3	999.762653932335990E-3	999.789797136459770E-3	999.769140527571710E-3
1.307000000000000E+3	999.639892502725450E-3	999.667099291490450E-3	999.883437076965250E-3
1.308000000000000E+3	999.612414515489320E-3	999.270187772907330E-3	999.950095319534830E-3
1.309000000000000E+3	999.786908980901720E-3	999.724244976132210E-3	999.956429844840790E-3
1.310000000000000E+3	999.815162900621780E-3	999.753883654231460E-3	999.946214898004170E-3
1.311000000000000E+3	999.342993870161010E-3	998.773275340921640E-3	999.720820624564800E-3
1.312000000000000E+3	999.705139132144760E-3	999.273470282286640E-3	999.851552452964420E-3
1.313000000000000E+3	999.825075290988960E-3	999.396911014921450E-3	999.868308321507640E-3
1.314000000000000E+3	999.670149720093380E-3	999.042879460181550E-3	999.776221113177880E-3
1.315000000000000E+3	999.710674235027240E-3	999.179092495041330E-3	999.810433337592670E-3
1.316000000000000E+3	999.774352569159030E-3	999.088593821217290E-3	999.775182588807260E-3
1.317000000000000E+3	999.630681106240430E-3	998.200156271749740E-3	999.553022538572700E-3
1.318000000000000E+3	998.851422783398670E-3	996.760952510909570E-3	998.509355621330250E-3
1.319000000000000E+3	998.798802428038420E-3	995.703736389194960E-3	997.311791782981680E-3
1.320000000000000E+3	998.744883468941970E-3	996.102295519777250E-3	996.159149911258760E-3
1.321000000000000E+3	999.091235030918010E-3	996.473268728323650E-3	997.926223147014850E-3
1.322000000000000E+3	999.513242924885860E-3	997.738200692411920E-3	999.240705522256190E-3
1.323000000000000E+3	999.753373426150340E-3	998.840007561746730E-3	999.679207200270700E-3
1.324000000000000E+3	999.775703792945340E-3	998.719034278832570E-3	999.800954155943720E-3
1.325000000000000E+3	999.648044403776860E-3	996.957751207403260E-3	999.716520968893180E-3
1.326000000000000E+3	999.134498312958640E-3	997.303684573239260E-3	999.482108666490450E-3
1.327000000000000E+3	999.094939278468600E-3	996.261780042180690E-3	999.296054417739050E-3
1.328000000000000E+3	999.341124832965550E-3	996.916685974460810E-3	999.096695967433670E-3
1.329000000000000E+3	999.452848179195770E-3	996.672323495219950E-3	998.728182393658680E-3
1.330000000000000E+3	998.674732312063160E-3	996.691180233736260E-3	997.066220228171710E-3
1.331000000000000E+3	997.516578172822580E-3	992.060651592727830E-3	996.218202905733930E-3
1.332000000000000E+3	997.538492227791560E-3	988.713745942868870E-3	997.203478678573730E-3
1.333000000000000E+3	998.997107654429950E-3	989.402630938108540E-3	998.619595958923130E-3
