Freq (Hz)	mic2/mic1_Mod	mic2/mic1_Phase(rad)	mic3/mic1_Mod	mic3/mic1_Phase(rad)	mic4/mic1_Mod	mic4/mic1_Phase(rad)
936.000000000000110E+0	804.779056854399430E-3	54.688108602552861E-3	622.023407657873010E-3	41.233581448779040E-3	869.687449873889910E-3	-6.265899157531037E+0
937.000000000000110E+0	803.448682337550510E-3	53.758869426552933E-3	620.518845676844340E-3	40.913690728126784E-3	870.339216011816630E-3	-6.265684403658820E+0
938.000000000000110E+0	800.325066608655320E-3	52.989881455031571E-3	618.561477424886100E-3	41.425419913074225E-3	871.046341297299410E-3	-6.265589113152614E+0
939.000000000000110E+0	797.795780728587030E-3	53.406675055284729E-3	617.144598088852800E-3	42.500694788159613E-3	871.813322330718290E-3	-6.265332278290484E+0
940.000000000000110E+0	795.131136738018380E-3	53.578149665651727E-3	616.108920615096700E-3	42.427812366409121E-3	873.137439498656520E-3	-6.266053366844779E+0
941.000000000000110E+0	792.909210215797740E-3	53.668335197971699E-3	614.371338500527500E-3	42.029598815416874E-3	873.198970860395000E-3	-6.267378163478192E+0
942.000000000000110E+0	790.112667375738930E-3	53.849439116582937E-3	612.453834122096090E-3	42.120966639194041E-3	873.195341464497070E-3	-6.267481644165051E+0
943.000000000000110E+0	787.755130944417960E-3	54.372216382351748E-3	610.827885560687900E-3	42.864353511446372E-3	873.985649948252780E-3	-6.267671974680192E+0
944.000000000000110E+0	784.800171738975430E-3	54.667217948682685E-3	609.587073647346100E-3	42.879938724136604E-3	874.789923133363570E-3	-6.268724326621721E+0
945.000000000000110E+0	782.184902952952950E-3	55.868140770167857E-3	608.376399323744990E-3	43.178615518286528E-3	875.248192093780350E-3	-6.269839848858004E+0
946.000000000000110E+0	779.742854024613410E-3	56.065742617944225E-3	607.537687922593110E-3	43.343478498616479E-3	875.538271474864520E-3	-6.270797541285311E+0
947.000000000000110E+0	776.607653930968980E-3	57.089063513553646E-3	607.252870078908710E-3	43.199786969040019E-3	875.988582445158870E-3	-6.270729833688169E+0
948.000000000000110E+0	773.704303998554500E-3	59.029341989930560E-3	606.712104086446930E-3	41.927105091081260E-3	877.843246055511120E-3	-6.271338537498293E+0
949.000000000000110E+0	771.518612262348860E-3	61.443977880122361E-3	606.248022111735120E-3	40.982062228753481E-3	878.933270700027250E-3	-6.273820000693870E+0
950.000000000000110E+0	768.641057963051490E-3	63.242891601353407E-3	605.202932381320170E-3	39.790154842161966E-3	878.773241196918020E-3	-6.275952624455686E+0
951.000000000000110E+0	766.050447062703090E-3	66.883687545085696E-3	604.503030665385470E-3	40.686223158298722E-3	878.756972268168730E-3	-6.277323063756156E+0
952.000000000000110E+0	764.409685723341560E-3	70.090534415896091E-3	604.782436637184670E-3	40.695883323054315E-3	879.319908870185960E-3	-6.279029972496525E+0
953.000000000000110E+0	763.345537791585540E-3	72.953172031945943E-3	604.847624590013840E-3	40.442668268240847E-3	879.803798656554110E-3	-6.281069624065905E+0
954.000000000000110E+0	762.133785946343180E-3	74.649220524334883E-3	605.107911059673100E-3	40.410716168924367E-3	880.303830859207050E-3	-6.283143487982204E+0
955.000000000000110E+0	760.869042073694660E-3	76.739043012655453E-3	605.729119478638720E-3	40.675261781560758E-3	880.667477989253380E-3	-6.285116041336620E+0
956.000000000000110E+0	759.657686612288050E-3	78.417090945386764E-3	606.979228018107660E-3	39.855287156420900E-3	881.242628093416020E-3	-6.286757980879371E+0
957.000000000000110E+0	758.283169053736600E-3	80.303150783452404E-3	607.914531015712020E-3	37.481078759279834E-3	882.545291066937690E-3	-6.288874045287072E+0
958.000000000000110E+0	756.152024039277280E-3	82.140132266169799E-3	608.029067663203410E-3	34.960179663237737E-3	883.263367158083290E-3	-6.292091013978069E+0
959.000000000000110E+0	754.076713864763050E-3	85.769552107593780E-3	608.110548821091500E-3	33.214353807510706E-3	883.623936972274040E-3	-6.294821489629774E+0
