Freq (Hz)	mic1(Pa^2 )	mic2(Pa^2 )	mic3(Pa^2 )	mic4(Pa^2 )
1.103000000000000E+3	105.522727181119830E-6	94.939353931481637E-6	331.715608984989830E-6	54.327952792905442E-6
1.104000000000000E+3	112.725633786092420E-6	99.115578101052626E-6	352.110510361811340E-6	57.567695589451218E-6
1.105000000000000E+3	118.431037513055240E-6	101.653302607934880E-6	366.520089489342860E-6	59.601186667357679E-6
1.106000000000000E+3	120.739714693629000E-6	100.906448889478350E-6	368.426477778979720E-6	59.289632058198282E-6
1.107000000000000E+3	121.786133421647650E-6	98.138336678975309E-6	363.583349519277190E-6	57.529048129607610E-6
1.108000000000000E+3	125.948371350053920E-6	96.796428564927185E-6	365.292457553897740E-6	56.589638627730569E-6
1.109000000000000E+3	136.575495000598830E-6	99.234920244044587E-6	382.711997848798040E-6	57.908740857923507E-6
1.110000000000000E+3	152.577887291560660E-6	104.224115964151160E-6	411.932683773164660E-6	60.587851248590505E-6
1.111000000000000E+3	168.088948353623270E-6	108.060001378778160E-6	438.313088138553220E-6	62.595530749160882E-6
1.112000000000000E+3	178.507280413659310E-6	108.033934674685270E-6	450.215478192300760E-6	62.397161688325793E-6
1.113000000000000E+3	185.629055660844000E-6	105.205128541919410E-6	450.914459576647150E-6	60.350648461623513E-6
1.114000000000000E+3	196.199679137567350E-6	103.393291037075610E-6	456.718980041808290E-6	58.688752487315288E-6
1.115000000000000E+3	216.324207379298710E-6	105.566087721791850E-6	481.665547025056210E-6	59.167935337624787E-6
1.116000000000000E+3	245.130206521532440E-6	110.630960988031760E-6	523.305999117951410E-6	61.619173957852999E-6
1.117000000000000E+3	274.918809191528260E-6	114.547762362302230E-6	563.858825270528980E-6	64.025628822206204E-6
1.118000000000000E+3	298.297553544023330E-6	114.312333736213160E-6	587.327034664692240E-6	64.494129471735263E-6
1.119000000000000E+3	316.209285951905130E-6	110.850378209460150E-6	596.291149222186790E-6	63.323405874880312E-6
1.120000000000000E+3	340.432884442657130E-6	108.539069988547910E-6	612.251806051795260E-6	62.604394742364866E-6
1.121000000000000E+3	383.817268072396480E-6	110.822398715502540E-6	655.461967494330400E-6	63.893325158913608E-6
1.122000000000000E+3	446.137770109649760E-6	116.500556780129920E-6	722.759995541320620E-6	66.616780413357839E-6
1.123000000000000E+3	511.468811230225630E-6	120.636241126757190E-6	787.058289155135150E-6	68.753386837739003E-6
1.124000000000000E+3	563.690714927287010E-6	119.888157338420290E-6	824.890481688987310E-6	68.921165024828044E-6
1.125000000000000E+3	607.815402082060840E-6	115.989355567521240E-6	845.484632805684450E-6	68.077387476648131E-6
1.126000000000000E+3	670.977221042644270E-6	114.011111604107010E-6	884.866834509443100E-6	68.618685773426082E-6
1.127000000000000E+3	777.035035367915550E-6	116.796636594861350E-6	968.860236952746910E-6	71.933418471065922E-6
1.128000000000000E+3	919.025350163147140E-6	121.756163160992300E-6	1.082927226793376E-3	76.904325497577806E-6
1.129000000000000E+3	1.060473793388124E-3	123.637386705375300E-6	1.182681711108601E-3	80.769978742240275E-6
1.130000000000000E+3	1.175527899628416E-3	120.079205113461110E-6	1.242289426510700E-3	82.357798071614393E-6
1.131000000000000E+3	1.289673280750389E-3	114.522247892593080E-6	1.290321770194874E-3	83.551175954584128E-6
1.132000000000000E+3	1.465989888737124E-3	112.224201822772020E-6	1.385862542293144E-3	87.541552970203787E-6
1.133000000000000E+3	1.740928338276481E-3	114.127600158029720E-6	1.552822160668161E-3	95.333104155974837E-6
1.134000000000000E+3	2.074006685799222E-3	116.166131327538980E-6	1.745508209406263E-3	103.935024067113880E-6
1.135000000000000E+3	2.380948492961272E-3	113.841868467024330E-6	1.892285993622176E-3	109.580834817924780E-6
1.136000000000000E+3	2.641065543892637E-3	107.286431598447140E-6	1.980933712795542E-3	112.226129069198210E-6
1.137000000000000E+3	2.951986616072242E-3	101.438370708556140E-6	2.085733281513655E-3	115.728424626767400E-6
1.138000000000000E+3	3.438381327058249E-3	99.962899094327014E-6	2.284636814265928E-3	123.457624165961150E-6
1.139000000000000E+3	4.074828601808318E-3	101.373794146558820E-6	2.546742342847315E-3	133.561749783383170E-6
1.140000000000000E+3	4.651271151135132E-3	101.729089726548650E-6	2.738937651991992E-3	139.595235090217000E-6
1.141000000000000E+3	4.999307729431013E-3	99.627409757248301E-6	2.775862927940360E-3	138.036424520747240E-6
1.142000000000000E+3	5.207245479487527E-3	97.875868441642933E-6	2.725488394298378E-3	133.141939871243720E-6
1.143000000000000E+3	5.510654083742432E-3	100.639560557138340E-6	2.717034760355820E-3	131.304535667636770E-6
1.144000000000000E+3	5.944804980860164E-3	109.048122781566070E-6	2.762055144763259E-3	132.770465232437200E-6
1.145000000000000E+3	6.238416333964347E-3	118.939304138270040E-6	2.735181742616676E-3	131.874373193333850E-6
1.146000000000000E+3	6.149016839881009E-3	125.447567083010210E-6	2.546200164397699E-3	124.713641091305730E-6
1.147000000000000E+3	5.791336800036373E-3	129.181151995372340E-6	2.264025313072497E-3	114.744992883667210E-6
1.148000000000000E+3	5.505473279637223E-3	135.956069121843270E-6	2.030736789519912E-3	108.908482170053960E-6
1.149000000000000E+3	5.425059909436006E-3	148.717454844622120E-6	1.888881726216137E-3	109.975495821291150E-6
