Freq (Hz)	Coh_mic2/mic1	Coh_mic3/mic1	Coh_mic4/mic1
1.119000000000000E+3	999.905294322763090E-3	999.974104144101930E-3	999.910623005680680E-3
1.120000000000000E+3	999.894708099324120E-3	999.976382805289550E-3	999.915456269211190E-3
1.121000000000000E+3	999.879030150049970E-3	999.978037800597020E-3	999.929756741007370E-3
1.122000000000000E+3	999.866139905210780E-3	999.977792648673810E-3	999.933268552934180E-3
1.123000000000000E+3	999.851628763785420E-3	999.977055097258200E-3	999.925916130377290E-3
1.124000000000000E+3	999.846298668775280E-3	999.977382530199080E-3	999.932618174646740E-3
1.125000000000000E+3	999.849848486503490E-3	999.978006381732180E-3	999.933608673823860E-3
1.126000000000000E+3	999.842741851983410E-3	999.978992433135700E-3	999.931997975329830E-3
1.127000000000000E+3	999.829783081222060E-3	999.982552309829800E-3	999.950263934307190E-3
1.128000000000000E+3	999.836277850676080E-3	999.986221557976890E-3	999.971601115509090E-3
1.129000000000000E+3	999.833262143709710E-3	999.986326298031410E-3	999.966910099238990E-3
1.130000000000000E+3	999.813257336004570E-3	999.985376283976880E-3	999.947738602925520E-3
1.131000000000000E+3	999.802424544552480E-3	999.986363187336360E-3	999.943882511503790E-3
1.132000000000000E+3	999.786349976010900E-3	999.987882365398040E-3	999.949148528907370E-3
1.133000000000000E+3	999.764034710417750E-3	999.988955122777630E-3	999.945693420943080E-3
1.134000000000000E+3	999.770126195204780E-3	999.990836680967550E-3	999.940657152938890E-3
1.135000000000000E+3	999.786468927565510E-3	999.992570967367040E-3	999.937700506893340E-3
1.136000000000000E+3	999.788287996737690E-3	999.993019864483300E-3	999.924559968541570E-3
1.137000000000000E+3	999.778487808784640E-3	999.993529262376060E-3	999.916907854566770E-3
1.138000000000000E+3	999.768519593120190E-3	999.993854272423270E-3	999.926646415164600E-3
1.139000000000000E+3	999.764599223904480E-3	999.994226465658500E-3	999.930244871472750E-3
1.140000000000000E+3	999.752952123678760E-3	999.994767039569130E-3	999.925818192192840E-3
1.141000000000000E+3	999.736384437112320E-3	999.995429904803610E-3	999.924343438169270E-3
1.142000000000000E+3	999.736027540397360E-3	999.995880186251960E-3	999.917932021598070E-3
1.143000000000000E+3	999.723129662007050E-3	999.995934255279330E-3	999.906221845556770E-3
1.144000000000000E+3	999.705934242310020E-3	999.995925877092070E-3	999.884082926260630E-3
1.145000000000000E+3	999.697053145937260E-3	999.995693753598310E-3	999.860030533551320E-3
1.146000000000000E+3	999.690992336437100E-3	999.995632286797220E-3	999.825831247760140E-3
1.147000000000000E+3	999.696305598978600E-3	999.995189615338730E-3	999.777874894434810E-3
1.148000000000000E+3	999.668162952964340E-3	999.994378710726720E-3	999.707809543970430E-3
1.149000000000000E+3	999.657497759702580E-3	999.994177260279840E-3	999.675682675976950E-3
1.150000000000000E+3	999.649429249593320E-3	999.993863109281620E-3	999.624462268062670E-3
1.151000000000000E+3	999.622794465441220E-3	999.993377732483760E-3	999.590982396921790E-3
1.152000000000000E+3	999.651601428318770E-3	999.993695252699540E-3	999.651112256457310E-3
1.153000000000000E+3	999.637152436149480E-3	999.993959251397330E-3	999.644174579490840E-3
1.154000000000000E+3	999.598754681266580E-3	999.993882358278130E-3	999.652675817456090E-3
1.155000000000000E+3	999.566689038652640E-3	999.993531090137550E-3	999.680890853119730E-3
1.156000000000000E+3	999.505085567543030E-3	999.993284836054320E-3	999.685354711258740E-3
1.157000000000000E+3	999.464351849002950E-3	999.993398004284550E-3	999.704940622677670E-3
1.158000000000000E+3	999.354173688183130E-3	999.992890306889090E-3	999.708849971398190E-3
1.159000000000000E+3	999.071373141178780E-3	999.992099000586610E-3	999.674270734805080E-3
1.160000000000000E+3	998.516332618916700E-3	999.992220248819840E-3	999.610828495707930E-3
1.161000000000000E+3	997.535365154384900E-3	999.991660292801840E-3	999.554041783844990E-3
1.162000000000000E+3	995.850765985518030E-3	999.991015427328820E-3	999.539811721668500E-3
1.163000000000000E+3	994.248748188529040E-3	999.990853407922370E-3	999.573277436562100E-3
1.164000000000000E+3	994.096592139441240E-3	999.990758395745800E-3	999.546622405957370E-3
1.165000000000000E+3	995.955893401236690E-3	999.990314133311630E-3	999.512362378291880E-3
1.166000000000000E+3	997.645900331454390E-3	999.988966425059970E-3	999.502461675426670E-3
1.167000000000000E+3	998.448541159873690E-3	999.987406506352540E-3	999.462688189886370E-3
1.168000000000000E+3	999.039062694260900E-3	999.984759820867430E-3	999.472557403747410E-3
1.169000000000000E+3	999.451080068203270E-3	999.984408176539220E-3	999.514986041224460E-3
1.170000000000000E+3	999.684583414226830E-3	999.985433102033360E-3	999.590078598991960E-3
1.171000000000000E+3	999.770044303661560E-3	999.981905940741990E-3	999.613123242496850E-3
1.172000000000000E+3	999.850134975291960E-3	999.974516737765610E-3	999.657738621520190E-3
1.173000000000000E+3	999.910424439688920E-3	999.972827360927740E-3	999.718487896754440E-3
1.174000000000000E+3	999.939276149365290E-3	999.976970407452590E-3	999.750713312863910E-3
1.175000000000000E+3	999.942399214535320E-3	999.980912819469440E-3	999.712987199590670E-3
1.176000000000000E+3	999.940296659722500E-3	999.983169273424010E-3	999.681127813108470E-3
1.177000000000000E+3	999.935646254517250E-3	999.983669984376600E-3	999.666555665639330E-3
1.178000000000000E+3	999.917950099844960E-3	999.978009524853940E-3	999.617202540924900E-3
1.179000000000000E+3	999.923424130679470E-3	999.973940519869540E-3	999.661423147427340E-3
1.180000000000000E+3	999.953813812494150E-3	999.975421348384800E-3	999.794148717473850E-3
1.181000000000000E+3	999.954329928162350E-3	999.976654446057100E-3	999.797603423830390E-3
1.182000000000000E+3	999.936520790519640E-3	999.973118157062020E-3	999.761687234594020E-3
1.183000000000000E+3	999.931641869386100E-3	999.971816939481670E-3	999.798471784331340E-3
1.184000000000000E+3	999.939417281719090E-3	999.974262973302610E-3	999.829384703083690E-3
