Freq (Hz)	mic2/mic1_Real	mic2/mic1_Imag	mic3/mic1_Real	mic3/mic1_Imag	mic4/mic1_Real	mic4/mic1_Imag
2.025000000000000E+3	37.318960030990243E-3	74.498631809886737E-3	120.217077911019140E-3	-232.353843993351180E-3	118.159244803059930E-3	103.376594043770210E-3
2.026000000000000E+3	42.797793028554507E-3	74.983321426521712E-3	118.152192972914820E-3	-234.002807750664370E-3	130.108736299009490E-3	101.023490550957910E-3
2.027000000000000E+3	48.655982961810777E-3	74.907199569556562E-3	115.591432339436560E-3	-235.346553188379100E-3	142.703608740355180E-3	97.219775297833821E-3
2.028000000000000E+3	55.111477162617953E-3	73.345022049292524E-3	112.584494453423680E-3	-235.850623513353810E-3	155.691781284151450E-3	90.188931184960117E-3
2.029000000000000E+3	62.167617296243760E-3	70.834702361297464E-3	109.022171452981810E-3	-235.652255379074170E-3	169.201343861395850E-3	80.584020794686198E-3
2.030000000000000E+3	69.398157586626652E-3	66.423099723483134E-3	105.239273540214370E-3	-234.298755880993390E-3	182.517419275479760E-3	67.100549833378847E-3
2.031000000000000E+3	76.385308281895464E-3	60.292742208689340E-3	101.463076471504750E-3	-231.589200316810180E-3	193.829365711062520E-3	50.178419073971012E-3
2.032000000000000E+3	81.871162444463755E-3	52.295754398737918E-3	98.298009741373205E-3	-227.659068315365670E-3	201.352602507666570E-3	29.986677866881688E-3
2.033000000000000E+3	85.519203187690074E-3	42.480818974063604E-3	96.304105354846958E-3	-222.436254317319780E-3	203.917341534079780E-3	7.326744609741407E-3
2.034000000000000E+3	87.153408146897149E-3	32.203455079618026E-3	95.603799443406356E-3	-216.585667739455060E-3	201.851105264871900E-3	-15.414778767574105E-3
2.035000000000000E+3	86.005474703700180E-3	21.938786446791227E-3	96.674162689423165E-3	-210.531680471025660E-3	194.139852369417500E-3	-36.569122950141385E-3
2.036000000000000E+3	83.235097327484978E-3	12.410616395781952E-3	98.859057970346650E-3	-204.758108145287530E-3	183.206475067942850E-3	-55.155526524770994E-3
2.037000000000000E+3	78.474418037267027E-3	3.998990174648946E-3	102.541298577192230E-3	-199.635963660131170E-3	168.971484627488840E-3	-70.557371494643042E-3
2.038000000000000E+3	72.572005979303106E-3	-3.160373061914551E-3	107.204449634111980E-3	-195.138354875804190E-3	153.012190652105200E-3	-82.455632607821516E-3
2.039000000000000E+3	66.099617842727776E-3	-8.313714538878463E-3	112.398688069912020E-3	-191.895121223624400E-3	136.838737455735710E-3	-89.916150702094105E-3
2.040000000000000E+3	59.000038255161695E-3	-11.903313404054552E-3	118.096888802889290E-3	-189.742239047021810E-3	120.590647061823900E-3	-93.731313767660224E-3
2.041000000000000E+3	52.201241861507847E-3	-14.228482807749451E-3	123.913976631845710E-3	-188.408415100376590E-3	105.358367464491180E-3	-95.021446108803850E-3
2.042000000000000E+3	45.987020819499673E-3	-15.125866451226580E-3	129.318306700200860E-3	-188.117079968617980E-3	92.291259230105824E-3	-93.807749573748919E-3
2.043000000000000E+3	40.501405183880970E-3	-15.274594241508406E-3	134.396166306045230E-3	-188.327676002977760E-3	81.146516458895035E-3	-91.345325884368944E-3
2.044000000000000E+3	35.431071813368825E-3	-14.830732398784260E-3	139.202428870790790E-3	-189.067905755985280E-3	71.174072596282015E-3	-87.992855698811684E-3
2.045000000000000E+3	31.103569417272804E-3	-14.171253040195377E-3	143.679824875965170E-3	-189.930928942520750E-3	62.841801026808489E-3	-84.450751389345921E-3
2.046000000000000E+3	27.152056990841444E-3	-13.187639697089906E-3	147.785171371184710E-3	-191.048575211723750E-3	55.472696382208413E-3	-80.560415999172283E-3
2.047000000000000E+3	23.817822661761530E-3	-11.991997308450714E-3	151.566284237151320E-3	-192.582661968572400E-3	49.409962996867937E-3	-76.222615400874397E-3
2.048000000000000E+3	20.682441362476021E-3	-10.650609149774197E-3	155.335003061036810E-3	-194.119244579497420E-3	43.915416312354197E-3	-71.951582429395547E-3
2.049000000000000E+3	18.066662997016147E-3	-9.186442459791222E-3	158.589713815700060E-3	-195.830424422053260E-3	39.544924790806721E-3	-67.559879107944393E-3
2.050000000000000E+3	15.775111261630566E-3	-7.753377736091277E-3	161.571178266840450E-3	-197.699608882467150E-3	36.099795960482225E-3	-63.497880625948258E-3
2.051000000000000E+3	13.780548121275346E-3	-6.394584777767764E-3	164.447062969443200E-3	-199.265438939743270E-3	33.216766933490877E-3	-59.692346539581297E-3
2.052000000000000E+3	12.274113646472868E-3	-5.128397737531175E-3	166.706372815397850E-3	-200.994015460160460E-3	31.219691613496650E-3	-56.121818046041529E-3
2.053000000000000E+3	10.798458264405529E-3	-3.810875767260660E-3	169.256642428249840E-3	-202.509182189953590E-3	29.110865484363424E-3	-52.973211933792667E-3
2.054000000000000E+3	9.578680166901037E-3	-2.705993153530372E-3	171.345438327455330E-3	-203.830393993568280E-3	27.671489666203451E-3	-50.366362023662105E-3
2.055000000000000E+3	8.417256091863919E-3	-1.625400532341823E-3	173.484485330117370E-3	-205.243299599273040E-3	26.473817258882208E-3	-47.860967115654580E-3
2.056000000000000E+3	7.391148479067561E-3	-703.014282628031940E-6	175.636979427275550E-3	-206.510485729725830E-3	25.259204899803562E-3	-45.445040059463405E-3
2.057000000000000E+3	6.408032699555644E-3	175.041891597804500E-6	177.708010878590480E-3	-207.784034209784200E-3	24.065511866085451E-3	-43.458986039115875E-3
2.058000000000000E+3	5.547036297385615E-3	932.878833113810300E-6	179.795584784669310E-3	-208.985085435277880E-3	23.181857498476906E-3	-41.635967791900402E-3
2.059000000000000E+3	4.800760980961501E-3	1.744314476472412E-3	181.682432213636000E-3	-210.261485889784190E-3	22.347995798917088E-3	-39.763795287444781E-3
2.060000000000000E+3	4.031592105809925E-3	2.465742713666463E-3	183.596703303373990E-3	-211.468614469235820E-3	21.642170392806751E-3	-38.164856681039409E-3
2.061000000000000E+3	3.283534796628617E-3	3.162290496430093E-3	185.435469191103040E-3	-212.753345153496860E-3	20.941408572150145E-3	-36.577160020561342E-3
2.062000000000000E+3	2.570024509688836E-3	3.726793489391184E-3	187.275024407395960E-3	-213.975211081798650E-3	20.348207157701210E-3	-35.210281016799835E-3
2.063000000000000E+3	1.994915003703328E-3	4.320925215914601E-3	189.109676868584740E-3	-215.102688557668930E-3	19.886018912036316E-3	-33.955879916030662E-3
2.064000000000000E+3	1.404219012898553E-3	4.893358872816062E-3	190.895730264956100E-3	-216.385275485342280E-3	19.364078059794232E-3	-32.796976887145800E-3
2.065000000000000E+3	750.327860252184550E-6	5.460331591169500E-3	192.808228329873270E-3	-217.498378061676020E-3	19.008679126556644E-3	-31.821805587387182E-3
2.066000000000000E+3	196.022081361194160E-6	5.911367294954021E-3	194.563397210721550E-3	-218.687311528242470E-3	18.553838980904295E-3	-30.877815602716813E-3
2.067000000000000E+3	-330.322212592043330E-6	6.409536470267901E-3	196.476871434995840E-3	-219.930503931000660E-3	18.163636402750205E-3	-30.021010544944732E-3
2.068000000000000E+3	-790.020272901626750E-6	6.831849036500530E-3	198.288037539273240E-3	-221.113830476957180E-3	17.751662074071459E-3	-29.223140591707615E-3
2.069000000000000E+3	-1.229098154891151E-3	7.344183959795787E-3	200.081377435033040E-3	-222.345215089560540E-3	17.299917625089447E-3	-28.456116461778699E-3
2.070000000000000E+3	-1.751234688945728E-3	7.784033764209244E-3	201.966225099847190E-3	-223.592639194149070E-3	16.876533636987368E-3	-27.695676365726823E-3
2.071000000000000E+3	-2.112270974650146E-3	8.093793764862236E-3	203.706741913511010E-3	-224.650544895467680E-3	16.449319734276116E-3	-27.115253727374548E-3
2.072000000000000E+3	-2.498234647122457E-3	8.571145121487114E-3	205.532234042225590E-3	-225.879225176592510E-3	16.041106391726071E-3	-26.387808004377875E-3
2.073000000000000E+3	-2.933819052968332E-3	8.819236464841167E-3	207.229970178653240E-3	-226.915849646427780E-3	15.696241092107634E-3	-25.814613901511740E-3
2.074000000000000E+3	-3.237922671582065E-3	9.099228367900183E-3	208.902161253897570E-3	-228.171394214594180E-3	15.381050315246137E-3	-25.114383745138313E-3
