Freq (Hz)	mic2/mic1_Mod	mic2/mic1_Phase(rad)	mic3/mic1_Mod	mic3/mic1_Phase(rad)	mic4/mic1_Mod	mic4/mic1_Phase(rad)
987.000000000000110E+0	512.736356137085570E-3	37.028231244701125E+0	570.227946264655780E-3	9.515730229051579E+0	2.176112378235464E+0	-6.498994936943302E+0
988.000000000000110E+0	1.053986233936440E+0	37.618194766865400E+0	643.361987438798690E-3	9.327191429119374E+0	1.044896653800753E+0	-5.456552601530963E+0
989.000000000000110E+0	576.838431173301020E-3	37.463630635998356E+0	876.197334728930130E-3	9.397627870974379E+0	349.711632330671710E-3	-4.564155768822931E+0
990.000000000000110E+0	386.536935966054320E-3	38.340757132759627E+0	674.047919624306430E-3	9.544240486367888E+0	423.202717064325940E-3	-1.987388299518426E+0
991.000000000000110E+0	640.697371272786140E-3	36.628087753009446E+0	709.409173635504260E-3	9.558008044483254E+0	293.327953085979810E-3	-4.529160153053486E+0
992.000000000000110E+0	590.621297943618950E-3	37.729364920869841E+0	648.212649597002200E-3	9.427001480517733E+0	386.811869077082150E-3	-2.536694781518505E+0
993.000000000000110E+0	360.633390247375950E-3	37.603257506586168E+0	679.007097074999840E-3	9.541479986847552E+0	298.222825972840220E-3	-2.931076188624818E+0
994.000000000000110E+0	261.301504698551620E-3	37.964434854492652E+0	739.140715325258930E-3	9.428753411238249E+0	567.984803934497460E-3	-3.934006066586866E+0
995.000000000000110E+0	246.272699173466360E-3	36.967945413041868E+0	593.664537048040340E-3	9.318288376616177E+0	223.019118033632610E-3	-3.242467666181368E+0
996.000000000000110E+0	252.245801901777200E-3	38.376943604130631E+0	667.427105175005700E-3	9.366957477997271E+0	231.736999010267310E-3	-3.703197568898758E+0
997.000000000000110E+0	138.545034604473570E-3	37.716256738373723E+0	618.915898136318530E-3	9.453562172939039E+0	164.605918114008320E-3	-3.773843859796600E+0
998.000000000000110E+0	179.098700290795190E-3	37.945694851020590E+0	621.632535741254210E-3	9.427029852414964E+0	160.643066264164800E-3	-3.024542871780797E+0
999.000000000000110E+0	141.242904889108570E-3	37.568420703693398E+0	606.988392390200860E-3	9.362130665310294E+0	170.807595712023950E-3	-4.568609046246316E+0
1.000000000000000E+3	138.680764233537090E-3	37.624709244117845E+0	616.560083154423010E-3	9.436902837500767E+0	385.756430879887040E-3	-3.600891527100985E+0
1.001000000000000E+3	252.327392609097420E-3	38.197955262449859E+0	646.023377751655750E-3	9.489847554625847E+0	335.211830365104160E-3	-3.401439263200884E+0
